id_transaksi,id_pelanggan,id_produk,tanggal_transaksi,jumlah,total_pembayaran,metode_pembayaran
T194,1009,Paket Internet Malam,2024-02-11,3,75000,Tunai
T195,1004,Paket Nelpon 500 Menit,2024-02-09,5,200000,Tunai
T196,1003,Paket Roaming Eropa,2023-09-20,3,450000,Tunai
T197,1005,Paket Nelpon 100 Menit,2024-01-13,4,80000,Kartu Kredit
T198,1005,Paket Kuota Video Streaming,2023-09-23,2,100000,Transfer Bank
T199,1008,Paket Data 5GB,2024-02-22,5,250000,Transfer Bank
T200,1004,Paket Data 10GB,2023-06-04,3,300000,Tunai
T201,1002,Paket Roaming Asia,2023-09-21,5,500000,Dompet Digital
T202,1009,Paket Data Unlimited,2024-04-22,1,200000,Tunai
T203,1008,Paket Data 10GB,2023-06-18,3,300000,Kartu Kredit
T204,1009,Paket Data 5GB,2023-09-16,1,50000,Dompet Digital
T205,1001,Paket Data 5GB,2023-07-30,5,250000,Dompet Digital
T206,1005,Paket Data 10GB,2024-03-14,3,300000,Kartu Kredit
T207,1003,Smartphone Flagship,2024-03-23,3,15000000,Dompet Digital
T208,1007,Paket Internet Malam,2024-01-11,1,25000,Tunai
T209,1002,Modem Wifi Portable,2024-02-15,2,600000,Kartu Kredit
T210,1006,Paket Kuota Video Streaming,2023-08-17,3,150000,Transfer Bank
T211,1009,Paket Internet Unlimited + TV Kabel,2023-05-19,2,600000,Dompet Digital
T212,1005,Paket Data 2GB,2023-07-19,4,100000,Transfer Bank
T213,1007,Paket Internet Unlimited + TV Kabel,2024-04-26,2,600000,Kartu Kredit
T214,1002,Paket SMS Unlimited,2023-09-17,2,30000,Dompet Digital
T215,1002,Kartu Perdana AS,2023-11-20,1,15000,Transfer Bank
T216,1003,Paket Internet Unlimited + TV Kabel,2023-09-19,1,300000,Tunai
T217,1001,Paket Data 2GB,2023-08-22,5,125000,Tunai
T218,1008,Paket Internet Korporat,2024-03-19,4,4000000,Dompet Digital
T219,1005,Paket Roaming Eropa,2023-06-11,2,300000,Dompet Digital
T220,1002,Paket Nelpon 100 Menit,2023-09-02,5,100000,Kartu Kredit
T221,1001,Voucher Isi Ulang Pulsa,2023-09-16,5,947430,Transfer Bank
T222,1005,Smartphone Flagship,2023-08-06,2,10000000,Dompet Digital
T223,1002,Smartphone Flagship,2023-08-05,3,15000000,Kartu Kredit
T224,1004,Paket Data Keluarga (4 Nomor),2023-08-30,4,600000,Tunai
T225,1002,Modem Wifi Portable,2023-08-07,2,600000,Transfer Bank
T226,1004,Paket Data Unlimited,2023-11-08,1,200000,Tunai
T227,1006,Kartu Perdana Loop,2023-08-17,2,40000,Kartu Kredit
T228,1002,Paket Data 2GB,2023-10-10,5,125000,Kartu Kredit
T229,1004,Paket Data 10GB,2023-06-22,1,100000,Tunai
T230,1006,Paket Data Keluarga (4 Nomor),2023-12-31,4,600000,Kartu Kredit
T231,1004,Paket Kuota Video Streaming,2023-06-05,2,100000,Tunai
T232,1007,Paket Roaming Eropa,2023-05-30,5,750000,Tunai
T233,1008,Paket Nelpon 100 Menit,2024-01-30,2,40000,Kartu Kredit
T234,1001,Paket Nelpon 100 Menit,2023-08-04,1,20000,Kartu Kredit
T235,1006,Modem MiFi 4G,2023-10-30,1,500000,Dompet Digital
T236,1007,Paket Internet Malam,2023-07-04,3,75000,Kartu Kredit
T237,1008,Kartu Perdana AS,2024-03-25,5,75000,Kartu Kredit
T238,1009,Smartphone Flagship,2023-07-11,2,10000000,Kartu Kredit
T239,1001,Paket Internet Malam,2024-03-17,1,25000,Kartu Kredit
T240,1008,Paket Nelpon 100 Menit,2023-11-04,3,60000,Dompet Digital
T241,1004,Paket Nelpon 500 Menit,2023-09-03,1,40000,Transfer Bank
T242,1006,Kartu Perdana AS,2024-05-07,2,30000,Transfer Bank
T243,1009,Paket Bundling Smartphone + Paket Data,2024-03-08,1,1500000,Transfer Bank
T244,1002,Paket Data 10GB,2023-10-20,1,100000,Dompet Digital
T245,1002,Voucher Isi Ulang Pulsa,2024-03-19,1,189486,Dompet Digital
T246,1001,Paket Bundling Smartphone + Paket Data,2023-09-24,3,4500000,Kartu Kredit
T247,1004,Paket Data 5GB,2023-05-22,3,150000,Kartu Kredit
T248,1004,Paket Nelpon 100 Menit,2023-10-09,3,60000,Transfer Bank
T249,1003,Paket Data Keluarga (4 Nomor),2024-03-10,2,300000,Tunai
T250,1002,Paket Data 2GB,2024-01-16,1,25000,Tunai
T251,1003,Paket Data Keluarga (4 Nomor),2023-10-17,3,450000,Tunai
T252,1002,Paket Internet Unlimited + TV Kabel,2023-06-11,5,1500000,Tunai
T253,1002,Paket Roaming Eropa,2023-05-10,3,450000,Tunai
T254,1002,Paket Roaming Asia,2023-05-27,5,500000,Transfer Bank
T255,1008,Paket Roaming Eropa,2024-01-14,1,150000,Dompet Digital
T256,1009,Paket Data 5GB,2024-03-23,5,250000,Tunai
T257,1008,Modem MiFi 4G,2023-11-05,1,500000,Kartu Kredit
T258,1009,Kartu Perdana SimPATI,2023-11-08,1,10000,Kartu Kredit
T259,1005,Voucher Isi Ulang Pulsa,2023-05-11,2,378972,Dompet Digital
T260,1007,Voucher Isi Ulang Pulsa,2023-09-29,5,947430,Kartu Kredit
T261,1005,Paket Nelpon 100 Menit,2024-01-25,1,20000,Tunai
T262,1004,Kartu Perdana SimPATI,2023-10-21,3,30000,Kartu Kredit
T263,1004,Paket Nelpon 500 Menit,2023-05-14,3,120000,Transfer Bank
T264,1004,Paket Data 2GB,2023-08-17,3,75000,Kartu Kredit
T265,1001,Paket Internet Unlimited + TV Kabel,2024-03-01,4,1200000,Tunai
T266,1006,Smartphone Murah,2023-09-13,5,5000000,Dompet Digital
T267,1004,Paket Internet Unlimited + TV Kabel,2024-03-26,5,1500000,Tunai
T268,1002,Paket Nelpon 100 Menit,2023-12-15,3,60000,Dompet Digital
T269,1006,Modem Wifi Portable,2023-08-22,5,1500000,Dompet Digital
T270,1007,Kartu Perdana SimPATI,2024-02-25,5,50000,Dompet Digital
T271,1005,Paket Internet Malam,2023-08-10,5,125000,Tunai
T272,1001,Modem Wifi Portable,2023-12-24,4,1200000,Tunai
T273,1003,Paket Kuota Video Streaming,2023-06-27,3,150000,Transfer Bank
T274,1005,Paket Kuota Video Streaming,2024-03-28,2,100000,Transfer Bank
T275,1006,Voucher Isi Ulang Pulsa,2023-05-31,3,568458,Dompet Digital
T276,1008,Smartphone Flagship,2023-05-24,4,20000000,Kartu Kredit
T277,1005,Paket Data 2GB,2024-02-11,2,50000,Tunai
T278,1009,Paket Data Unlimited,2024-02-11,4,800000,Tunai
T279,1009,Paket Internet Unlimited + TV Kabel,2024-02-29,4,1200000,Tunai
T280,1007,Paket Bundling Smartphone + Paket Data,2024-01-01,4,6000000,Tunai
T281,1009,Paket Streaming Video,2023-08-12,4,300000,Kartu Kredit
T282,1005,Paket Roaming Asia,2023-07-17,3,300000,Kartu Kredit
T283,1004,Modem MiFi 4G,2023-09-10,3,1500000,Kartu Kredit
T284,1006,Paket Data Unlimited,2023-12-04,5,1000000,Tunai
T285,1005,Paket Internet Malam,2023-07-13,3,75000,Tunai
T286,1007,Paket SMS Unlimited,2024-04-03,2,30000,Dompet Digital
T287,1002,Paket Internet Unlimited + TV Kabel,2024-05-04,5,1500000,Kartu Kredit
T288,1007,Paket Kuota Video Streaming,2023-08-10,2,100000,Kartu Kredit
T289,1003,Paket Data Unlimited,2023-06-09,2,400000,Transfer Bank
T290,1006,Paket SMS Unlimited,2023-10-30,4,60000,Tunai
T291,1009,Paket Roaming Asia,2023-12-25,1,100000,Tunai
T292,1004,Paket Kuota Video Streaming,2024-02-28,4,200000,Dompet Digital
T293,1005,Paket Data Keluarga (4 Nomor),2024-02-03,1,150000,Transfer Bank
T294,1002,Paket Roaming Asia,2024-03-20,3,300000,Transfer Bank
T295,1005,Paket Data Unlimited,2024-03-15,1,200000,Kartu Kredit
T296,1003,Paket Bundling Smartphone + Paket Data,2023-10-19,4,6000000,Dompet Digital
T297,1004,Paket Internet Unlimited + TV Kabel,2024-02-01,2,600000,Kartu Kredit
T298,1005,Kartu Perdana AS,2023-09-01,2,30000,Dompet Digital
T299,1002,Paket Data 5GB,2023-09-20,4,200000,Tunai
T300,1005,Paket Roaming Asia,2023-06-04,2,200000,Kartu Kredit
T301,1003,Smartphone Flagship,2024-04-16,2,10000000,Tunai
T302,1009,Kartu Perdana SimPATI,2023-08-07,5,50000,Kartu Kredit
T303,1002,Voucher Isi Ulang Pulsa,2023-10-28,4,757944,Kartu Kredit
T304,1009,Paket Bundling Smartphone + Paket Data,2023-07-13,2,3000000,Transfer Bank
T305,1009,Paket Data 10GB,2023-06-24,2,200000,Tunai
T306,1008,Modem MiFi 4G,2023-08-16,3,1500000,Tunai
T307,1006,Voucher Isi Ulang Pulsa,2024-01-22,2,378972,Transfer Bank
T308,1008,Paket Data 5GB,2024-03-06,3,150000,Kartu Kredit
T309,1001,Modem Wifi Portable,2024-02-06,2,600000,Transfer Bank
T310,1007,Paket Internet Unlimited + TV Kabel,2023-05-19,2,600000,Tunai
T311,1007,Paket Nelpon 100 Menit,2024-04-22,1,20000,Tunai
T312,1001,Paket Roaming Asia,2024-01-22,3,300000,Transfer Bank
T313,1001,Paket Data 5GB,2023-11-11,2,100000,Kartu Kredit
T314,1006,Paket SMS Unlimited,2023-10-18,5,75000,Tunai
T315,1005,Paket Roaming Eropa,2023-10-05,2,300000,Transfer Bank
T316,1005,Voucher Isi Ulang Pulsa,2023-09-24,4,757944,Kartu Kredit
T317,1006,Paket Roaming Asia,2024-03-23,2,200000,Dompet Digital
T318,1005,Paket Kuota Video Streaming,2023-05-28,2,100000,Kartu Kredit
T319,1008,Smartphone Murah,2023-08-07,5,5000000,Transfer Bank
T320,1008,Smartphone Flagship,2023-09-16,2,10000000,Dompet Digital
T321,1003,Smartphone Murah,2023-12-18,4,4000000,Kartu Kredit
T322,1004,Paket Data Keluarga (4 Nomor),2024-04-02,1,150000,Tunai
T323,1004,Paket Data Keluarga (4 Nomor),2024-02-27,2,300000,Transfer Bank
T324,1002,Paket Internet Unlimited + TV Kabel,2023-06-24,1,300000,Dompet Digital
T325,1003,Kartu Perdana Loop,2023-08-30,5,100000,Dompet Digital
T326,1001,Paket Internet Unlimited + TV Kabel,2023-08-05,3,900000,Dompet Digital
T327,1005,Paket Internet Korporat,2023-06-26,5,5000000,Kartu Kredit
T328,1005,Paket Data Unlimited,2024-01-13,2,400000,Tunai
T329,1004,Voucher Isi Ulang Pulsa,2023-12-18,1,189486,Transfer Bank
T330,1007,Paket Data Keluarga (4 Nomor),2023-05-21,2,300000,Tunai
T331,1003,Paket Roaming Asia,2024-01-03,5,500000,Transfer Bank
T332,1004,Smartphone Flagship,2023-05-14,1,5000000,Dompet Digital
T333,1005,Voucher Isi Ulang Pulsa,2024-03-01,4,757944,Transfer Bank
T334,1007,Voucher Isi Ulang Pulsa,2024-02-19,4,757944,Kartu Kredit
T335,1007,Paket Nelpon 500 Menit,2023-08-25,3,120000,Kartu Kredit
T336,1008,Paket Roaming Asia,2023-12-19,2,200000,Tunai
T337,1005,Paket Nelpon 100 Menit,2023-12-14,3,60000,Tunai
T338,1009,Paket Internet Malam,2024-02-20,1,25000,Tunai
T339,1001,Kartu Perdana Loop,2023-05-28,2,40000,Kartu Kredit
T340,1001,Paket Nelpon 100 Menit,2023-07-27,1,20000,Kartu Kredit
T341,1001,Paket Nelpon 100 Menit,2024-01-08,4,80000,Transfer Bank
T342,1008,Paket Internet Malam,2023-10-20,4,100000,Tunai
T343,1003,Paket Data 10GB,2023-08-03,2,200000,Tunai
T344,1003,Modem MiFi 4G,2023-07-13,4,2000000,Dompet Digital
T345,1009,Paket Kuota Video Streaming,2024-04-10,3,150000,Kartu Kredit
T346,1008,Voucher Isi Ulang Pulsa,2024-03-19,4,757944,Transfer Bank
T347,1002,Kartu Perdana SimPATI,2023-11-30,2,20000,Tunai
T348,1002,Paket Nelpon 100 Menit,2023-09-01,5,100000,Dompet Digital
T349,1001,Paket Roaming Eropa,2024-01-02,1,150000,Kartu Kredit
T350,1009,Paket Data Unlimited,2024-03-14,1,200000,Transfer Bank
T351,1001,Paket Streaming Video,2023-10-25,5,375000,Transfer Bank
T352,1002,Modem Wifi Portable,2023-06-09,2,600000,Transfer Bank
T353,1002,Smartphone Flagship,2023-07-07,3,15000000,Tunai
T354,1007,Paket Data 5GB,2023-12-12,3,150000,Dompet Digital
T355,1008,Paket Internet Unlimited + TV Kabel,2023-08-12,3,900000,Tunai
T356,1008,Paket Data 10GB,2023-07-09,3,300000,Tunai
T357,1005,Paket Data 5GB,2023-09-09,4,200000,Kartu Kredit
T358,1006,Paket Data 10GB,2023-09-29,4,400000,Dompet Digital
T359,1008,Paket Data 10GB,2023-07-11,3,300000,Dompet Digital
